ID,Technique Name,Description
T1210,Exploitation of Remote Services,Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network
T1534,Internal Spearphishing,Adversaries may use internal spearphishing to gain access to additional information or exploit other users within the same organization after they already have access to accounts or systems within the environment
T1570,Lateral Tool Transfer,Adversaries may transfer tools or other files between systems in a compromised environment
T1563,Remote Service Session Hijacking,Adversaries may take control of preexisting sessions with remote services to move laterally in an environment
T1563.001,SSH Hijacking,Adversaries may hijack a legitimate user's SSH session to move laterally within an environment
T1563.002,RDP Hijacking,Adversaries may hijack a legitimate user’s remote desktop session to move laterally within an environment
T1021,Remote Services,"Adversaries may use Valid Accounts to log into a service that accepts remote connections, such as telnet, SSH, and VNC"
T1021.001,Remote Desktop Protocol,Adversaries may use Valid Accounts to log into a computer using the Remote Desktop Protocol (RDP)
T1021.002,SMB/Windows Admin Shares,Adversaries may use Valid Accounts to interact with a remote network share using Server Message Block (SMB)
T1021.003,Distributed Component Object Model,Adversaries may use Valid Accounts to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM)
T1021.004,SSH,Adversaries may use Valid Accounts to log into remote machines using Secure Shell (SSH)
T1021.005,VNC,Adversaries may use Valid Accounts to remotely control machines using Virtual Network Computing (VNC)
T1021.006,Windows Remote Management,Adversaries may use Valid Accounts to interact with remote systems using Windows Remote Management (WinRM)
T1021.007,Cloud Services,Adversaries may log into accessible cloud services within a compromised environment using Valid Accounts that are synchronized with or federated to on-premises user identities
T1021.008,Direct Cloud VM Connections,Adversaries may leverage Valid Accounts to log directly into accessible cloud hosted compute infrastructure through cloud native methods
T1091,Replication Through Removable Media,"Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes"
T1072,Software Deployment Tools,"Adversaries may gain access to and use third-party software suites installed within an enterprise network, such as administration, monitoring, and deployment systems, to move laterally through the network"
T1080,Taint Shared Content,"Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories"
T1550,Use Alternate Authentication Material,"Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls"
T1550.001,Application Access Token,"Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems"
T1550.002,Pass the Hash,"Adversaries may ""pass the hash"" using stolen password hashes to move laterally within an environment, bypassing normal system access controls"
T1550.003,Pass the Ticket,"Adversaries may ""pass the ticket"" using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls"
T1550.004,Web Session Cookie,Adversaries can use stolen session cookies to authenticate to web applications and services
